award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
conflict	Hermann Lichtenberger (20 August 1892 -- 15 January 1959) was a highly decorated Generalmajor in the Luftwaffe during World War II who commanded the Flak-Brigade IV. He was also a recipient of the Knight's Cross of the Iron Cross.	Hermann Lichtenberger	World War II
conflict	Max Immelmann (21 September 1890 -- 18 June 1916) PLM was the first German World War I flying ace.	Max Immelmann	World War I
conflict	Sergeant Thomas Frederick Stephenson DCM (1894 -- 20 November 1917) was a British World War I flying ace credited with five aerial victories.	Thomas Frederick Stephenson	World War I
conflict	Arnaldo Mussolini, like his brother Benito Mussolini, took part in World War I, attaining the rank of lieutenant, and in 1919 after the war's end, he moved to Milan.	Arnaldo Mussolini	World War I
conflict	Flight Sergeant Frank Sumner, was a British RAF air gunner during World War II and flew combat missions during the Battle of Britain.	Frank Sumner	World War II
conflict	Jean Pierre François Bonet, Count of Bonet (born 8 August 1768 in Alençon; † 23 November 1857 Alençon) was a French military commander during the French Revolutionary Wars and Napoleonic Wars.	Jean Pierre François Bonet	Napoleonic Wars
conflict	Wing Commander Douglas Arthur Davies DFC (12 January 1896 -- 1992) was an officer of the British Royal Air Force, who was credited with 10 aerial victories in World War I, and also served during World War II.	Douglas Arthur Davies	World War I
conflict	Ferdinand, Graf Bubna von Littitz (26 November 1768 -- 5 June 1825) was a Major-General (Feldmarschalleutnant) of Imperial Austrian Army during the Napoleonic Wars and also an Austrian Privy Councillor.	Ferdinand, Graf Bubna von Littitz	Napoleonic Wars
conflict	Lieutenant James Alfred Keating was a World War I flying ace credited with six aerial victories, including four triumphs during a running battle on 9 August 1918.	James Alfred Keating	World War I
conflict	Philippe de Culant (1413 -- December 1454) was a French nobleman and soldier of the Hundred Years' War.	Philippe de Culant	Hundred Years' War
conflict	John Lorimer Worden (March 12, 1818 -- October 19, 1897) was a U.S. Navy officer in the American Civil War, who took part in the Battle of Hampton Roads, the first-ever engagement between ironclad steamships at Hampton Roads, Virginia, on 9 March 1862.	John Lorimer Worden	American Civil War
conflict	Moses Orr (1847 -- May 10, 1897) was an Irish-born soldier in the U.S. Army who served with the 1st U.S. Cavalry during the Apache Wars.	Moses Orr	Apache Wars
conflict	Robert Strahan (born 21 March 1838) was an American sailor who received the Medal of Honor for valor in action during the American Civil War.	Robert Strahan	American Civil War
conflict	Karl-Wilhelm von Schlieben (30 October 1894 -- 18 June 1964) was a German officer in World War I and World War II.	Karl-Wilhelm von Schlieben	World War I
conflict	Juan Guilloto León, usually referred to as Modesto or Juan Modesto, (1906 -- 1969) was a Republican army officer during the Spanish Civil War.	Juan Modesto	Spanish Civil War
conflict	Konstantinos Kallaris (Greek: Κωνσταντίνος Καλλάρης, 1858--1940) was a senior Greek Army officer who distinguished himself in the Balkan Wars of 1912--1913.	Konstantinos Kallaris	Balkan Wars
conflict	The M1917 bayonet was used first during World War I by American soldiers on the Western Front.	M1917 bayonet	World War I
conflict	Vice Admiral Phillips Cosby (1729--1808) was a Royal Navy officer who fought in the American Revolutionary War.	Phillips Cosby	American Revolutionary War
conflict	Edgar Jadwin, C.E. (August 7, 1865 -- March 2, 1931) was a U.S. Army officer who fought in the Spanish-- American War and World War I, before serving as Chief of Engineers from 1926 to 1929.	Edgar Jadwin	Spanish-- American War
conflict	James Takemori (February 3, 1926 -- May 15, 2015) was an American judoka and World War II veteran.	James Takemori	World War II
conflict	Hans Teusen (26 July 1917 -- 11 February 2011) was a highly decorated Major in the Fallschirmjäger during World War II and a Generalmajor in the Bundeswehr.	Hans Teusen	World War II
conflict	General George Wesley Griner, Jr. (1895-1975) was an American soldier who as Major General commanded the 27th Division in the Battle of Saipan (from 10:30 on 28 June 1944).	George Wesley Griner, Jr.	Battle of Saipan
conflict	Henry Burbeck (June 10, 1754--October 2, 1848) was a long-time artillery officer in the United States Army who served from the early days of the American Revolutionary War through the War of 1812.	Henry Burbeck	American Revolutionary War	War of 1812
conflict	Günther Müller-Stöckheim (17 December 1913 in Klein Stöckheim, district of Braunschweig -- 16 July 1943 in the Atlantic Ocean) was a German U-boat commander in World War II and recipient of the Knight's Cross of the Iron Cross (German: Ritterkreuz des Eisernen Kreuzes).	Günther Müller-Stöckheim	World War II
conflict	Pierre-Joseph Habert (22 December 1773 -- 19 May 1825) enlisted in the French army at the beginning of the French Revolutionary Wars and led a division during the Napoleonic Wars.	Pierre-Joseph Habert	French Revolutionary Wars	Napoleonic Wars
conflict	Daniel Woodall was an American Union army officer during the period of the American Civil War.	Daniel Woodall	American Civil War
conflict	Baron Eberhardt Otto George von Bock (died 1814), was a Hanoverian born major-general in the British army during the Napoleonic Wars.	Eberhardt Otto George von Bock	Napoleonic Wars
conflict	Raup Miller served as California State Assemblyman for the 28th District and during World War II he served in the United States Coast Guard.	Raup Miller	World War II
conflict	General Baron Hugh Halkett, GCH, CB, (30 August 1783 Musselburgh; 26 July 1863 in Hanover, Germany) was a British soldier during the Napoleonic Wars and later a general of infantry in the Hanoverian service.	Hugh Halkett	Napoleonic Wars
conflict	Jerónimo Siller Gómez (San Pedro Garza García, Nuevo León; September 30, 1880 - Monterrey, Nuevo León; March 14, 1962) was an inventor, politician and Mexican military man who participated in the Mexican Revolution.	Jerónimo Siller	Mexican Revolution
constellation	HD 27894 is a 9th magnitude star located approximately 138 light years away in the constellation of Reticulum.	HD 27894	Reticulum
constellation	Ross 614 (V577 Monocerotis) is a red dwarf UV Cetiflare star and it is the primary member of a nearby binary star system in the constellation of Monoceros.	Ross 614	Monoceros
country	The Apolobamba Integrated Management Natural Area (Área Natural de Manejo Integrado Apolobamba) is a protected area in the La Paz Department, Bolivia, situated in the Bautista Saavedra, Franz Tamayo and Larecaja provinces.	Apolobamba Integrated Management Natural Area	Bolivia
country	The Valley of the Statues is a valley in the Andean Region of Colombia, containing more than 500 statues of unknown origin.	Valley of the Statues	Colombia
country	Coronation Glacier is a glacier on southeastern Baffin Island, Nunavut, Canada.	Coronation Glacier	Canada
country	Arraia-Maeztu (Spanish: Arraya-Maestu) is a town and municipality located in the province of Álava, in the Basque Country, northern Spain.	Arraia-Maeztu	Spain
country	The historic range of Setomaa is located on territories of present-day Estonia and Russia.	Setomaa	Estonia	Russia
country	Kupise (kuˈpisɛ) is a village in the administrative district of Gmina Mała Wieś, within Płock County, Masovian Voivodeship, in east-central Poland.	Kupise	Poland
country	Bralos (Greek: Μπράλος) is a town in Phthiotis, Greece.	Bralos	Greece
country	Zamalka (Arabic: زملكا‎) is a suburb of Damascus in Syria, located 3.5 kilometers (2.2 mi) east-northeast of Old Damascus.	Zamalka	Syria
country	Moonee Colliery was a coal mine located at Catherine Hill Bay, New South Wales, Australia.	Moonee Colliery	Australia
country	The St. Gallen Symposium, formerly known as the Internationales Management Symposium and the ISC-Symposium, is an annual conference taking place at the University of St. Gallen in St. Gallen, Switzerland, aimed at fostering intergenerational and intercultural dialogue between the decision makers of today and tomorrow.	St. Gallen Symposium	Switzerland
country	Mizo National Front (MNF) is a regional political party in Mizoram, India.	Mizo National Front	India
country	The Agly River (Catalan: Aglí, Occitan: Aglin)is a river of southwestern France.	Agly	France
country	Rodeløkka is a neighborhood in Grünerløkka in Oslo, Norway.	Rodeløkka	Norway
country	Hospital Universitario de Canarias or University Hospital of the Canary Islands is an advanced hospital in Tenerife (Canary Islands, Spain).	Hospital Universitario de Canarias	Spain
country	Vidya Jyothi Institute of Technology (VJIT) is a college in Hyderabad, India, established in 1999 by A.P. Jithender Reddy and V. Purushottam Reddy.	Vidya Jyothi Institute of Technology	India
country	Zakriž (pronounced (zaˈkɾiːʃ)) is a settlement northwest of Cerkno in the traditional Littoral region of Slovenia.	Zakriž	Slovenia
country	The Brampton Centennial Secondary School shooting was a school shooting that occurred at Brampton Centennial Secondary School in Brampton, Ontario, Canada on Wednesday May 28, 1975 at 11:35 a.m. The incident began when 16-year-old Michael Slobodian brought two rifles to school in a guitar case .	Brampton Centennial Secondary School shooting	Canada
country	Nymanbolagen (aka Nymans AB or just Nymans) was a Swedish bicycle, moped, and motorcycle manufacturing company in Uppsala, Sweden.	Nymanbolagen	Sweden
country	Dhoondigan is an administrative division of Fuvahmulah, Maldives.	Dhoondigan	Maldives
country	Umeå University Library is one of the seven libraries in Sweden that by law is directly supplied by printers in Sweden with one copy of every book printed (``pliktbibliotek'').	Umeå University Library	Sweden
country	Mazraeh-ye Barani (Persian: مزرعه باراني‎, also Romanized as Mazra``eh-ye Bārānī) is a village in Gowhar Kuh Rural District, Nukabad District, Khash County, Sistan and Baluchestan Province, Iran. At the 2006 census, its population was 252, in 54 families.	Mazraeh-ye Barani	Iran
country	Qaleh-ye Kartilabad (Persian: قلعه كرتيل اباد‎, also Romanized as Qal``eh-ye Kartīlābād; also known as Ghal''eh Kartil Abad) is a village in Haram Rud-e Sofla Rural District, Samen District, Malayer County, Hamadan Province, Iran.	Qaleh-ye Kartilabad	Iran
country	Nameh Shir (Persian: نمه شير‎‎, also Romanized as Nameh Shīr; also known as Namashīr and Namshīr) is a village in Nameh Shir Rural District, Namshir District, Baneh County, Kurdistan Province, Iran.	Nameh Shir	Iran
country	Santalla de Rei is a parish in the municipality of A Pobra do Brollón, in the Province of Lugo in Galicia, region of north-west Spain.	Santalla de Rei	Spain
country	Montmaneu (Catalan pronunciation: (mumːəˈnɛw)) is a municipality in the comarca of the Anoia in Catalonia, Spain.	Montmaneu	Spain
country	Sjuøyane (English: Seven Islands) is the northernmost part of the Svalbard archipelago north of Norway, and some 20 km north of Nordaustlandet.	Sjuøyane	Norway
country	Lake Khasan or Lake Hassan (Russian: озеро Хасан; Chinese: 哈桑湖; pinyin: Hāsāng Hú) is a small lake in Khasansky District, Primorsky Krai of Russia, located southeast of Posyet Bay, on the border with North Korea and China, 130 km southwest of Vladivostok.	Lake Khasan	Russia
country	Pontoetoe is a village in the Sipaliwini District of Suriname, situated on the banks of the Tapanahony River.	Pontoetoe	Suriname
country	Wopławki (vɔˈpwafki) (German Woplauken) is a village in the administrative district of Gmina Kętrzyn, within Kętrzyn County, Warmian-Masurian Voivodeship, in northern Poland.	Wopławki	Poland
country	Lyrkeia (Greek: Λυρκεία) is a village and a former municipality in Argolis, Peloponnese, Greece.	Lyrkeia	Greece
country	Glasin is a municipality in the Nordwestmecklenburg district, Mecklenburg-Western Pomerania, Germany.	Glasin	Germany
country	Hanö is an island off Listerlandet peninsula, western Blekinge, Sweden.	Hanö	Sweden
country	Goli otok (pronounced (ɡôliː ǒtok); meaning ``barren island'', literally: ``naked island''; Italian: Isola Calva) is a barren, uninhabited island that was the site of a political prison in use when Croatia was part of Yugoslavia.	Goli otok	Croatia
country	Ploug House (Danish Plougs Gård)) is a listed Neoclassical property on the corner of Højbro Plads and Ved Stranden in central Copenhagen, Denmark.	Ploug House	Denmark
country	Nobel/Sawdust Bay Water Aerodrome, (TC LID: CNT2), is located 2.1 nautical miles (3.9 km; 2.4 mi) southwest of Nobel, Ontario, Canada.	Nobel/Sawdust Bay Water Aerodrome	Canada
country	Böda socken is a former socken of Åkerbo Hundred on Öland, Sweden.	Böda socken	Sweden
country	US Mondorf-les-Bains is a football club, based in Mondorf-les-Bains, in south-eastern Luxembourg.	US Mondorf-les-Bains	Luxembourg
country	Auce Castle is a castle in the historical region of Courland, in western Latvia.	Auce Castle	Latvia
country	Shoghakn (Armenian: Շողակն) is a village in the Aragatsotn Province of Armenia.	Shoghakn	Armenia
country	Khun Phawo National Park (Thai: อุทยานแห่งชาติขุนพะวอ) is a national park in the Mae Ramat District, Tak Province, Thailand.	Khun Phawo National Park	Thailand
country	Spjelkavik Church (Norwegian: Spjelkavik kyrkje) is a parish church in Ålesund Municipality in Møre og Romsdal county, Norway.	Spjelkavik Church	Norway
country	The Ahobiryong Mountains are a mountain range stretching from north to south in central North Korea.	Ahobiryong Mountains	North Korea
country	Seini (German: Leuchtenburg; Hungarian: Szinérváralja) is a town in Maramureş County, northern Transylvania, Romania.	Seini	Romania
country	Patkhor Peak (also Patkhur, Tajik: Паххор) is a mountain in Tajikistan's Gorno-Badakhshan Autonomous Province.	Patkhor Peak	Tajikistan
country	Wierzbka (ˈvjɛʂpka) is a village in the administrative district of Gmina Bogoria, within Staszów County, Świętokrzyskie Voivodeship, in south-central Poland.	Wierzbka	Poland
country	Lekh Castle (Azerbaijani: Löh qalası), sometimes named Lev Castle is located west of the abandoned Qanlıkənd village of Kalbajar Rayon of Azerbaijan.	Lekh Castle	Azerbaijan
country	Causse Méjean is a limestone plateau in the Lozère department, in southern France.	Causse Méjean	France
country	The Gimli Glider is the nickname of an Air Canada aircraft that was involved in an unusual aviation incident.	Gimli Glider	Canada
country	Akramabad-e Kianpur (Persian: اكرم ابادكيانپور‎, also Romanized as Akramābād-e Kīānpūr) is a village in Akhtarabad Rural District, in the Central District of Malard County, Tehran Province, Iran.	Akramabad-e Kianpur	Iran
country	Freemans Bay is the name of a former bay and now inner city suburb of Auckland, in the North Island of New Zealand.	Freemans Bay	New Zealand
country	Dowshi or Dushi is a town and seat of Dushi District in Baghlan Province in north-eastern Afghanistan.	Dowshi	Afghanistan
country	L'Albagés (pronounced: (ɫəɫbəˈʒes)) is a village in the province of Lleida and autonomous community of Catalonia, Spain.	L'Albagés	Spain
country	The National Union of Plantation Workers (NUPW) is the largest union in Malaysia and one of the largest in Asia.	National Union of Plantation Workers	Malaysia
country	Abbas-e Aliabad (Persian: عباسعلي اباد‎, also Romanized as ʿAbbās-e ʿAlīābād) is a village in Dasht-e Zarrin Rural District, in the Central District of Kuhrang County, Chaharmahal and Bakhtiari Province, Iran.	Abbas-e Aliabad	Iran
country	In May 2009, Esquel twinned with Aberystwyth in Wales; with representatives of the Welsh town traveling to Argentina to participate in the signing of a charter formalising the link.	Esquel	Argentina
country	Likewise, it is expected that Pontevedra will benefit from the high-speed train connecting Galicia and central Spain.	Pontevedra	Spain
country	Lal Bangla are two imperial late-Mughal mausoleums located in Delhi, India, that are that protected monument under the Archaeological Survey of India.	Lal Bangla	India
country	Cheiron Studios was a recording studio located on Kungsholmen, Stockholm, Sweden, founded in 1992 by Denniz PoP and Tom Talomaa, most famous for producing popular music acts of the late 1990s, such as Backstreet Boys, Robyn, Boyzone, NSYNC, and Britney Spears.	Cheiron Studios	Sweden
country	Millerhof (Russian: Миллергоф) is a folk name of a residence-style palace built on the Istra Reservoir near Berezhki village, Moscow Region, Russia.	Millerhof	Russia
country	The Autovía CA-34 is an autovía in the province of Cádiz, Andalusia, Spain, providing a link between the Autovía A-7 and Gibraltar.	Autovía CA-34	Spain
country	Chania Power Station is a natural gas power plant located in Chania on Crete island, Greece.	Chania Power Station	Greece
country	Carrigagulla is a megalithic complex 2.9 km north-east of Ballinagree, County Cork, Ireland.	Carrigagulla	Ireland
country	Leverano is a town and comune in the Italian province of Lecce in the southeastern part of the Apulia region of south-east Italy.	Leverano	Italy
country	Abish Ahmad Rural District (Persian: دهستان آبش احمد‎) is a rural district (dehestan) in Abish Ahmad District, Kaleybar County, East Azerbaijan Province, Iran.	Abish Ahmad Rural District	Iran
country	The Damtshaa diamond mine is a diamond mine located in Botswana about 220 kilometers (140 mi) west of the city of Francistown.	Damtshaa diamond mine	Botswana
country	The Sengkang Hockey Stadium serves the residents of Sengkang, a new suburb in the north-eastern part of Singapore.	Sengkang Hockey Stadium	Singapore
country	On July 16, 2012, in time of its parochial feast day, San Salvador del Mundo Church was declared a national historical site by the National Historical Commission of the Philippines (NHCP).	San Salvador del Mundo Church	Philippines
country	Hålogaland Bridge (Norwegian: Hålogalandsbrua) is a suspension bridge under construction which will cross the Rombaksfjorden in the municipality of Narvik in Nordland county, Norway.	Hålogaland Bridge	Norway
country	The Aspropyrgos Refinery is an oil refining complex located near Aspropyrgos, a suburb of Athens, in Greece.	Aspropyrgos Refinery	Greece
country	Sanlúcar de Guadiana is a localidad in the province of Huelva, Andalusia, Spain, situated 55 km from the city of Huelva.	Sanlúcar de Guadiana	Spain
country	Meghradzor (Armenian: Մեղրաձոր), meaning, valley of honey; formerly known as Taycharukh), is a village in the Kotayk Province of Armenia, 15 kilometers northwest of Hrazdan.	Meghradzor	Armenia
country	Plasy (Czech pronunciation: (ˈplasɪ); German: Plass) is a small town in the Plzeň Region of the Czech Republic.	Plasy	Czech Republic
country	Schloss Weimar is a Schloss (palace) in Weimar, Thuringia, Germany.	Schloss Weimar	Germany
country	The Scottish Labour Party (Scottish Gaelic: Pàrtaidh Làbarach na h-Alba, Scots: Scots Labour Pairty; branded Scottish Labour) is the section of the Labour Party which operates in Scotland.	Scottish Labour Party	Scotland
country	The Concordat of 1940 was an agreement between Portugal and the Holy See of the Catholic Church signed in Vatican City on 7 May 1940 under António de Oliveira Salazar´s Estado Novo.	Concordat of 1940	Vatican City
country	The Udi-Nsukka Plateau is a pair of nearly connected plateaus located in south central Nigeria.	Udi-Nsukka Plateau	Nigeria
country	Fiduyeh (Persian: فيدويه‎, also Romanized as Fīdūyeh; also known as Fadooyeh) is a village in Baghan Rural District, Mahmeleh District, Khonj County, Fars Province, Iran.	Fiduyeh	Iran
country	Sri Aurobindo's Rourkela School (A Unit of Sri Aurobindo Yoga Mandir) is a school located in Sector-5 , Rourkela - 769002, Odisha, India.	Sri Aurobindo's Rourkela School	India
country	Al-Jiza (Arabic: الجيزة‎, also spelled el-Jeza) is a town in southern Syria, administratively part of the Daraa Governorate, located east of Daraa.	Al-Jiza	Syria
country	Ambalappuzha is a small town in the Alappuzha district of Kerala state, south India.	Ambalappuzha	India
country	The Endeavour Strait is a strait running between the Australian mainland Cape York Peninsula and Prince of Wales Island in the extreme south of the Torres Strait, in northern Queensland, Australia.	Endeavour Strait	Australia
country	Shah Khail Garhi is the name of village located in the historical city Mansehra of Khyber Pakhtunkhwa, Pakistan.	Shah Khail Garhi	Pakistan
country	Émerainville (pronounced: (emʁɛ̃vil)) is a commune in the Seine-et-Marne département in the Île-de-France region in north-central France.	Émerainville	France
country	Kvernesfjorden or Kvernesfjord is a fjord between the municipalities of Gjemnes, Kristiansund, Averøy, and Eide in Møre og Romsdal county, Norway.	Kvernesfjord	Norway
country	Sukkur , formerly Aror (ərōr) (Sindhi: اروڙ‎, Urdu: اروڑ) and Bakhar, is the 14th largest city of Pakistan and third largest city of Sindh province, situated on the west bank of Indus River in Pakistan in Sukkur District.	Sukkur	Pakistan
country	Sainte-Croix-sur-Mer Airfield is a former World War II airfield, located 1 km northwest of Sainte-Croix-sur-Mer in the Basse-Normandie region, France.	Sainte-Croix-sur-Mer Airfield	France
country	Hagley Gap is a settlement in Saint Thomas parish in southeastern Jamaica.	Hagley Gap	Jamaica
country	Kritsa Gorge (Greek Φαράγγι Κριτσάς (fa'ragi kri'tsas)) is a narrow gorge not far from the town of Kritsa, in Crete, Greece, west of Agios Nikolaos.	Kritsa Gorge	Greece
country	Croke Park (Irish: Páirc an Chrócaigh, IPA: (ˈpaːɾʲc ən̪ˠ ˈxɾˠoːkˠə)) is a GAA stadium located in Dublin, Ireland.	Croke Park	Ireland
country	Koodal is a village in Pathanamthitta District, located in Kerala state, India.	Koodal	India
country	Koške Poljane (pronounced (ˈkoːʃkɛ pɔˈljaːnɛ)) is a small dispersed settlement in the Municipality of Šmartno pri Litiji in central Slovenia.	Koške Poljane	Slovenia
country	Gornje Vrbno (Serbian Cyrillic: Горње Врбно) is a village in the municipality of Trebinje, Republika Srpska, Bosnia and Herzegovina.	Gornje Vrbno	Bosnia and Herzegovina
country	The Canton of Betton is a canton of France, in the Ille-et-Vilaine département.	Canton of Betton	France
country	Baro Kunda is a town in central-southern Gambia.	Baro Kunda	Gambia
country	Pomare is an unofficial suburb of Lower Hutt City, New Zealand.	Pomare	New Zealand
country	The Adelaide Film Festival (AFF) is a biennial international film festival held over two weeks in mid October, in Adelaide, South Australia.	Adelaide Film Festival	Australia
country	Miesbach is a town in Bavaria, Germany, and is the capital of the Miesbach district.	Miesbach	Germany
country	Golden Ears Provincial Park is a Provincial Park in British Columbia, Canada at 555.9 km².	Golden Ears Provincial Park	Canada
country	Dhebar Lake (also known as Jaisamand Lake) is Asia's second-largest artificial lake (is considered largest now, since the Upper lake in Bhopal, India 's largest artificial lake in Asia, but is almost dried up due to lack of rainfall).	Dhebar Lake	India
country	Chichakli (Armenian: Չիչակլի); formerly known as Kizilvank, is an abandoned village in the Gegharkunik Province of Armenia, located near the village of Makenis.	Chichakli	Armenia
country	The Zabarwan Range is a short (20 mi (32 km) long) sub-mountain range of the Zanskar Range in the central part of the Kashmir Valley in the state of Jammu and Kashmir in India.	Zabarwan Range	India
country	THSR Hsinchu Station (Chinese: 高鐵新竹站; pinyin: Gāotiě Xīnzhú Zhàn) is an elevated station of Taiwan High Speed Rail located in Zhubei, Hsinchu County, Taiwan.	THSR Hsinchu Station	Taiwan
country	Pichlinger See is a lake of Upper Austria.	Pichlinger See	Austria
country	Aspahi Kola (Persian: اسپاهيكلا‎, also Romanized as Aspāhī Kolā; also known as Esbāykolā) is a village in Dabuy-ye Jonubi Rural District, Dabudasht District, Amol County, Mazandaran Province, Iran.	Aspahi Kola	Iran
country	Lake Johnson is a small lake near the suburb of Frankton in Queenstown in the South Island of New Zealand.	Lake Johnson	New Zealand
country	The Stadio Rino Mercante is a multi-use sports stadium in Bassano del Grappa, Italy.	Stadio Rino Mercante	Italy
country	Nizhyn Gogol State University (Ukrainian: Ніжинський державний університет ім. Миколи Гоголя) is an academic institution in Ukraine, located in Nizhyn, Chernihiv Oblast.	Nizhyn Gogol State University	Ukraine
country	Horodniany (xɔrɔdˈɲanɨ) is a village in the administrative district of Gmina Juchnowiec Kościelny, within Białystok County, Podlaskie Voivodeship, in north-eastern Poland.	Horodniany	Poland
country	Piazzetta dei Leoncini is a city square in Venice, Italy.	Piazzetta dei Leoncini	Italy
country	Shahverdi (Persian: شاه وردي‎, also Romanized as Shāhverdī; also known as Qeshlāq, Qeshlāq-e Shāhverdī, Qeshlāq-e Shāverdī, Qishlāq, and Shāverdī) is a village in Qeshlaq Rural District, in the Central District of Ahar County, East Azerbaijan Province, Iran.	Shahverdi	Iran
country	Chelyabinsk Metro (Russian: Челябинский метрополитен, Chelyabinskiy metropoliten) is an underground rapid transit system being constructed in Chelyabinsk, Russia.	Chelyabinsk Metro	Russia
country	WD & HO Wills Holdings Limited is an Australian tobacco manufacturer controlled by BAT Australia Pty Ltd., a wholly owned subsidiary of British American Tobacco PLC. Its cigarette brands include:	WD & HO Wills Holdings	Australia
country	Durankulak (Bulgarian: Дуранкулак) is a village in northeastern Bulgaria, part of Shabla Municipality, Dobrich Province.	Durankulak	Bulgaria
country	Diakonissestiftelsen is a large site in the Frederiksberg district of Copenhagen, Denmark, owned by the Danish Deaconess Community and used for various social and healthcare-related activities, including a home for the elderly and training of nurses.	Diakonissestiftelsen	Denmark
country	Jaghdan (Persian: جغدان‎, also Romanized as Jaghdān and Joghdan; also known as Jaqdān) is a village in Naghan Rural District, Naghan District, Kiar County, Chaharmahal and Bakhtiari Province, Iran.	Jaghdan	Iran
country	Souani (Arabic: السواني‎) is a town and commune in Tlemcen Province in north-western Algeria.	Souani	Algeria
country	The Church of Saint Demetrius, or Hagios Demetrios (Greek: Άγιος Δημήτριος), is the main sanctuary dedicated to Saint Demetrius, the patron saint of Thessaloniki (in Central Macedonia, Greece), dating from a time when it was the second largest city of the Byzantine Empire.	Hagios Demetrios	Greece
country	Penfolds is an Australian wine producer that was founded in Adelaide in 1844 by Christopher Rawson Penfold, an English physician who emigrated to Australia, and his wife Mary Penfold.	Penfolds	Australia
country	The Jardin botanique de Bayeux (2.6 hectares), also called the Jardin public de Bayeux, is a botanical garden and municipal park located at 53, route de Port-en-Bessin, Bayeux, Calvados, Basse-Normandie, France.	Jardin botanique de Bayeux	France
country	St. Kitts and Nevis Olympic Committee (IOC code: SKN) is the National Olympic Committee representing Saint Kitts and Nevis.	St. Kitts and Nevis Olympic Committee	Saint Kitts and Nevis
country	Sankt Georgen an der Gusen (also St. Georgen an der Gusen, lit.: Saint George's Town on the Gusen River) is a small market town in Upper Austria, Austria, between the municipalities of Luftenberg and Langenstein.	Sankt Georgen an der Gusen	Austria
country	Sabha Governorate (Sebha Governorate) was one of the governorates (muhafazah) of Libya from 1963 to 1983.	Sabha Governorate	Libya
country	Polla is a town and comune of the province of Salerno in the Campania region of south-west Italy.	Polla	Italy
country	Le Rouget-Pers is a commune in the Cantal department of southern France.	Le Rouget-Pers	France
country	Mekarbaru is a district located in the Tangerang Regency of Banten in Java, Indonesia.	Mekarbaru	Indonesia
country	Barrenjoey High School is a co-educational high school located in the Sydney suburb of Avalon, in the Northern Beaches of Sydney, Australia.	Barrenjoey High School	Australia
country	Dąbrówka Polska-Osada (dɔmˈbrufka ˈpɔlska ɔˈsada) is a settlement in the administrative district of Gmina Banie Mazurskie, within Gołdap County, Warmian-Masurian Voivodeship, in northern Poland, close to the border with the Kaliningrad Oblast of Russia.	Dąbrówka Polska-Osada	Poland
country	Qalangeh (Persian: قلانگه‎, also Romanized as Qalāngeh) is a village in Bazan Rural District, in the Central District of Javanrud County, Kermanshah Province, Iran.	Qalangeh	Iran
country	The Yorke Highway is the main road from Adelaide to the southern parts of the Yorke Peninsula in South Australia.	Yorke Highway	Australia
country	Łowicz (ˈwɔvʲit͡ʂ) is a town in central Poland with 30,383 inhabitants (2004).	Łowicz	Poland
country	Feltre (Venetian: Fèltre) is a town and comune of the province of Belluno in Veneto, northern Italy.	Feltre	Italy
country	Rębowola (rɛmbɔˈvɔla) is a village in the administrative district of Gmina Belsk Duży, within Grójec County, Masovian Voivodeship, in east-central Poland.	Rębowola	Poland
country	Gredine (Serbian: Гредине) is a village in the municipality of Bugojno, Bosnia and Herzegovina.	Gredine	Bosnia and Herzegovina
